country,year,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,emissions_Mg_CO2e
Malaysia,2001,0,198079,12559041,63,,,,
Malaysia,2001,10,165072,12513804,76,,,,
Malaysia,2001,15,163478,12445657,76,,,,
Malaysia,2001,20,162303,12392369,76,,,,
Malaysia,2001,25,161666,12363710,76,,,,
Malaysia,2001,30,160446,12308338,77,1387148.0,1294216.0,92932.0,1524990.0
Malaysia,2001,50,153927,11978043,78,1371113.0,1237023.0,134090.0,1517675.0
Malaysia,2001,75,130399,10572028,81,1276314.0,1031171.0,245143.0,1445861.0
Malaysia,2001,0,97833,4624225,47,,,,
Malaysia,2001,10,56373,4578697,81,,,,
Malaysia,2001,15,55438,4542650,82,,,,
Malaysia,2001,20,55011,4525071,82,,,,
Malaysia,2001,25,54665,4511364,83,,,,
Malaysia,2001,30,54076,4486954,83,430587.0,349333.0,81254.0,237804.0
Malaysia,2001,50,51632,4364581,85,422311.0,334560.0,87750.0,234802.0
Malaysia,2001,75,43363,3849346,89,376604.0,286121.0,90483.0,209416.0
Malaysia,2001,0,287337,24585006,86,,,,
Malaysia,2001,10,242618,24518278,101,,,,
Malaysia,2001,15,240879,24438381,101,,,,
Malaysia,2001,20,239491,24371980,102,,,,
Malaysia,2001,25,238772,24337380,102,,,,
Malaysia,2001,30,237610,24281383,102,1557555.0,575293.0,982261.0,3112230.0
Malaysia,2001,50,231234,23927826,103,1534643.0,544193.0,990449.0,3094729.0
Malaysia,2001,75,207777,22268113,107,1435557.0,448200.0,987357.0,2993953.0
Malaysia,2001,0,340495,28063753,82,,,,
Malaysia,2001,10,291909,28008994,96,,,,
Malaysia,2001,15,290110,27940068,96,,,,
Malaysia,2001,20,288881,27890581,97,,,,
Malaysia,2001,25,288137,27861360,97,,,,
Malaysia,2001,30,286743,27805145,97,2999352.0,1203749.0,1795603.0,2589606.0
