country,year,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tree_cover_loss
Malaysia,2001,0,32938349,32938349,32938349,1004945,340192
Malaysia,2001,10,32938349,29786086,29079370,1004945,335435
Malaysia,2001,15,32938349,29667042,28916358,1004945,334604
Malaysia,2001,20,32938349,29583873,28831769,1004945,333837
Malaysia,2001,25,32938349,29531610,28734757,1004945,333372
Malaysia,2001,30,32938349,29430562,28632041,1004945,332497
Malaysia,2001,50,32938349,28977160,27990866,1004945,326084
Malaysia,2001,75,32938349,27249584,26362131,1004945,298075
Malaysia,2002,0,32938349,32938349,32938349,1004945,316776
Malaysia,2002,10,32938349,29786086,29079370,1004945,314308
Malaysia,2002,15,32938349,29667042,28916358,1004945,313843
Malaysia,2002,20,32938349,29583873,28831769,1004945,313321
Malaysia,2002,25,32938349,29531610,28734757,1004945,313008
Malaysia,2002,30,32938349,29430562,28632041,1004945,312554
Malaysia,2002,50,32938349,28977160,27990866,1004945,308556
Malaysia,2002,75,32938349,27249584,26362131,1004945,285356
Malaysia,2003,0,32938349,32938349,32938349,1004945,185711
Malaysia,2003,10,32938349,29786086,29079370,1004945,184642
Malaysia,2003,15,32938349,29667042,28916358,1004945,184415
Malaysia,2003,20,32938349,29583873,28831769,1004945,184211
Malaysia,2003,25,32938349,29531610,28734757,1004945,184079
Malaysia,2003,30,32938349,29430562,28632041,1004945,183911
Malaysia,2003,50,32938349,28977160,27990866,1004945,182120
Malaysia,2003,75,32938349,27249584,26362131,1004945,169465
Malaysia,2004,0,32938349,32938349,32938349,1004945,355377
Malaysia,2004,10,32938349,29786086,29079370,1004945,353089
Malaysia,2004,15,32938349,29667042,28916358,1004945,352711
Malaysia,2004,20,32938349,29583873,28831769,1004945,352301
Malaysia,2004,25,32938349,29531610,28734757,1004945,352070
Malaysia,2004,30,32938349,29430562,28632041,1004945,351802
Malaysia,2004,50,32938349,28977160,27990866,1004945,348711
Malaysia,2004,75,32938349,27249584,26362131,1004945,329006
Malaysia,2005,0,32938349,32938349,32938349,1004945,378196
Malaysia,2005,10,32938349,29786086,29079370,1004945,376473
Malaysia,2005,15,32938349,29667042,28916358,1004945,376155
Malaysia,2005,20,32938349,29583873,28831769,1004945,375809
Malaysia,2005,25,32938349,29531610,28734757,1004945,375644
Malaysia,2005,30,32938349,29430562,28632041,1004945,375420
Malaysia,2005,50,32938349,28977160,27990866,1004945,372693
Malaysia,2005,75,32938349,27249584,26362131,1004945,353414
Malaysia,2006,0,32938349,32938349,32938349,1004945,335577
Malaysia,2006,10,32938349,29786086,29079370,1004945,334480
Malaysia,2006,15,32938349,29667042,28916358,1004945,334309
Malaysia,2006,20,32938349,29583873,28831769,1004945,334113
Malaysia,2006,25,32938349,29531610,28734757,1004945,334027
Malaysia,2006,30,32938349,29430562,28632041,1004945,333901
Malaysia,2006,50,32938349,28977160,27990866,1004945,332281
Malaysia,2006,75,32938349,27249584,26362131,1004945,319886
Malaysia,2007,0,32938349,32938349,32938349,1004945,406869
Malaysia,2007,10,32938349,29786086,29079370,1004945,405723
Malaysia,2007,15,32938349,29667042,28916358,1004945,405548
Malaysia,2007,20,32938349,29583873,28831769,1004945,405365
Malaysia,2007,25,32938349,29531610,28734757,1004945,405282
Malaysia,2007,30,32938349,29430562,28632041,1004945,405159
Malaysia,2007,50,32938349,28977160,27990866,1004945,403486
Malaysia,2007,75,32938349,27249584,26362131,1004945,390144
Malaysia,2008,0,32938349,32938349,32938349,1004945,369553
Malaysia,2008,10,32938349,29786086,29079370,1004945,368432
Malaysia,2008,15,32938349,29667042,28916358,1004945,368293
Malaysia,2008,20,32938349,29583873,28831769,1004945,368142
Malaysia,2008,25,32938349,29531610,28734757,1004945,368079
Malaysia,2008,30,32938349,29430562,28632041,1004945,367972
Malaysia,2008,50,32938349,28977160,27990866,1004945,366672
Malaysia,2008,75,32938349,27249584,26362131,1004945,356023
Malaysia,2009,0,32938349,32938349,32938349,1004945,624954
Malaysia,2009,10,32938349,29786086,29079370,1004945,623446
Malaysia,2009,15,32938349,29667042,28916358,1004945,623244
Malaysia,2009,20,32938349,29583873,28831769,1004945,623026
Malaysia,2009,25,32938349,29531610,28734757,1004945,622930
Malaysia,2009,30,32938349,29430562,28632041,1004945,622780
