country,subnational1,year,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,emissions_Mg_CO2e
Malaysia,Johor,2001,0,1911485,161690598,85,,,,
Malaysia,Johor,2001,10,1625635,161322141,99,,,,
Malaysia,Johor,2001,15,1614670,160842410,100,,,,
Malaysia,Johor,2001,20,1606540,160463313,100,,,,
Malaysia,Johor,2001,25,1601965,160254374,100,,,,
Malaysia,Johor,2001,30,1593783,159877994,100,13427527.0,7299827.0,6127700.0,13932000.0
Malaysia,Johor,2001,50,1551382,157627402,102,13287539.0,7015158.0,6272382.0,13851659.0
Malaysia,Johor,2001,75,1391685,147208845,106,12458477.0,5984949.0,6473527.0,13241387.0
Malaysia,Kedah,2001,0,951787,79675819,84,,,,
Malaysia,Kedah,2001,10,693911,79000112,114,,,,
Malaysia,Kedah,2001,15,687911,78642913,114,,,,
Malaysia,Kedah,2001,20,683626,78375777,115,,,,
Malaysia,Kedah,2001,25,681331,78241635,115,,,,
Malaysia,Kedah,2001,30,676030,77913295,115,5191335.0,3200786.0,1990549.0,1249208.0
Malaysia,Kedah,2001,50,653738,76361813,117,5108121.0,3045744.0,2062377.0,1220004.0
Malaysia,Kedah,2001,75,581666,70202887,121,4579119.0,2581522.0,1997597.0,980571.0
Malaysia,Kelantan,2001,0,1513205,165113057,109,,,,
Malaysia,Kelantan,2001,10,1361094,164872652,121,,,,
Malaysia,Kelantan,2001,15,1355454,164591771,121,,,,
Malaysia,Kelantan,2001,20,1351764,164399244,122,,,,
Malaysia,Kelantan,2001,25,1349451,164282350,122,,,,
Malaysia,Kelantan,2001,30,1344075,163993524,122,13108504.0,5977419.0,7131085.0,4234989.0
Malaysia,Kelantan,2001,50,1325417,162853893,123,13050932.0,5826822.0,7224110.0,4209599.0
Malaysia,Kelantan,2001,75,1256211,157521747,125,12608155.0,5281071.0,7327083.0,4029873.0
Malaysia,Kuala Lumpur,2001,0,27198,518053,19,,,,
Malaysia,Kuala Lumpur,2001,10,6860,507628,74,,,,
Malaysia,Kuala Lumpur,2001,15,5685,456774,80,,,,
Malaysia,Kuala Lumpur,2001,20,5485,446937,81,,,,
Malaysia,Kuala Lumpur,2001,25,5109,428862,84,,,,
Malaysia,Kuala Lumpur,2001,30,4827,414389,86,27299.0,32459.0,-5160.0,16136.0
Malaysia,Kuala Lumpur,2001,50,3914,357079,91,25217.0,27488.0,-2271.0,14451.0
Malaysia,Kuala Lumpur,2001,75,2446,242429,99,17576.0,20220.0,-2644.0,8956.0
Malaysia,Labuan,2001,0,9066,436021,48,,,,
Malaysia,Labuan,2001,10,4730,426512,90,,,,
Malaysia,Labuan,2001,15,4599,419801,91,,,,
Malaysia,Labuan,2001,20,4527,415628,92,,,,
Malaysia,Labuan,2001,25,4480,413030,92,,,,
Malaysia,Labuan,2001,30,4323,403863,93,20672.0,27011.0,-6340.0,10268.0
Malaysia,Labuan,2001,50,3926,378890,97,19743.0,24960.0,-5217.0,10184.0
Malaysia,Labuan,2001,75,3014,310672,103,16622.0,20357.0,-3734.0,9845.0
Malaysia,Melaka,2001,0,165403,9575243,58,,,,
Malaysia,Melaka,2001,10,117339,9527472,81,,,,
Malaysia,Melaka,2001,15,115661,9445345,82,,,,
Malaysia,Melaka,2001,20,114475,9384085,82,,,,
Malaysia,Melaka,2001,25,113794,9349258,82,,,,
Malaysia,Melaka,2001,30,112675,9291768,82,1139800.0,691561.0,448240.0,811255.0
Malaysia,Melaka,2001,50,106873,8942334,84,1121624.0,649345.0,472279.0,804448.0
Malaysia,Melaka,2001,75,88815,7609803,86,1007607.0,523053.0,484553.0,740255.0
Malaysia,Negeri Sembilan,2001,0,666738,59420574,89,,,,
Malaysia,Negeri Sembilan,2001,10,570930,59306691,104,,,,
Malaysia,Negeri Sembilan,2001,15,567096,59110058,104,,,,
Malaysia,Negeri Sembilan,2001,20,564138,58949675,104,,,,
Malaysia,Negeri Sembilan,2001,25,562530,58863446,105,,,,
Malaysia,Negeri Sembilan,2001,30,559821,58715699,105,5263479.0,2845864.0,2417616.0,5616533.0
Malaysia,Negeri Sembilan,2001,50,544976,57769100,106,5210317.0,2737561.0,2472756.0,5586799.0
Malaysia,Negeri Sembilan,2001,75,487265,53251141,109,4830080.0,2350431.0,2479649.0,5183389.0
Malaysia,Pahang,2001,0,3585238,422471528,118,,,,
Malaysia,Pahang,2001,10,3327704,422127448,127,,,,
Malaysia,Pahang,2001,15,3316955,421598747,127,,,,
Malaysia,Pahang,2001,20,3308545,421163557,127,,,,
Malaysia,Pahang,2001,25,3303635,420910143,127,,,,
Malaysia,Pahang,2001,30,3295418,420480303,128,28002322.0,9642236.0,18360086.0,15748789.0
