country,subnational1,year,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tree_cover_loss
Malaysia,Johor,2001,0,1911485,1911485,1911485,102272,44323
Malaysia,Johor,2001,10,1911485,1625635,1586884,102272,43973
Malaysia,Johor,2001,15,1911485,1614670,1573563,102272,43897
Malaysia,Johor,2001,20,1911485,1606540,1561875,102272,43815
Malaysia,Johor,2001,25,1911485,1601965,1552433,102272,43767
Malaysia,Johor,2001,30,1911485,1593783,1543602,102272,43703
Malaysia,Johor,2001,50,1911485,1551382,1482095,102272,43128
Malaysia,Johor,2001,75,1911485,1391685,1328110,102272,40236
Malaysia,Kedah,2001,0,951787,951787,951787,44640,3811
Malaysia,Kedah,2001,10,951787,693911,659969,44640,3671
Malaysia,Kedah,2001,15,951787,687911,653389,44640,3652
Malaysia,Kedah,2001,20,951787,683626,649573,44640,3623
Malaysia,Kedah,2001,25,951787,681331,643895,44640,3611
Malaysia,Kedah,2001,30,951787,676030,640752,44640,3600
Malaysia,Kedah,2001,50,951787,653738,617848,44640,3439
Malaysia,Kedah,2001,75,951787,581666,554988,44640,2502
Malaysia,Kelantan,2001,0,1513205,1513205,1513205,23028,10852
Malaysia,Kelantan,2001,10,1513205,1361094,1278726,23028,10653
Malaysia,Kelantan,2001,15,1513205,1355454,1271129,23028,10621
Malaysia,Kelantan,2001,20,1513205,1351764,1266493,23028,10594
Malaysia,Kelantan,2001,25,1513205,1349451,1261939,23028,10580
Malaysia,Kelantan,2001,30,1513205,1344075,1257078,23028,10557
Malaysia,Kelantan,2001,50,1513205,1325417,1229250,23028,10398
Malaysia,Kelantan,2001,75,1513205,1256211,1159120,23028,9657
Malaysia,Kuala Lumpur,2001,0,27198,27198,27198,863,39
Malaysia,Kuala Lumpur,2001,10,27198,6860,5199,863,38
Malaysia,Kuala Lumpur,2001,15,27198,5685,4642,863,37
Malaysia,Kuala Lumpur,2001,20,27198,5485,4556,863,37
Malaysia,Kuala Lumpur,2001,25,27198,5109,4403,863,36
Malaysia,Kuala Lumpur,2001,30,27198,4827,4100,863,36
Malaysia,Kuala Lumpur,2001,50,27198,3914,3071,863,30
Malaysia,Kuala Lumpur,2001,75,27198,2446,1492,863,15
Malaysia,Labuan,2001,0,9066,9066,9066,188,25
Malaysia,Labuan,2001,10,9066,4730,4401,188,24
Malaysia,Labuan,2001,15,9066,4599,4289,188,24
Malaysia,Labuan,2001,20,9066,4527,4270,188,24
Malaysia,Labuan,2001,25,9066,4480,4235,188,24
Malaysia,Labuan,2001,30,9066,4323,4163,188,24
Malaysia,Labuan,2001,50,9066,3926,3695,188,24
Malaysia,Labuan,2001,75,9066,3014,2883,188,22
Malaysia,Melaka,2001,0,165403,165403,165403,12986,3669
Malaysia,Melaka,2001,10,165403,117339,113366,12986,3631
Malaysia,Melaka,2001,15,165403,115661,111868,12986,3620
Malaysia,Melaka,2001,20,165403,114475,110563,12986,3608
Malaysia,Melaka,2001,25,165403,113794,109490,12986,3602
Malaysia,Melaka,2001,30,165403,112675,108610,12986,3593
Malaysia,Melaka,2001,50,165403,106873,102385,12986,3529
Malaysia,Melaka,2001,75,165403,88815,85393,12986,3101
Malaysia,Negeri Sembilan,2001,0,666738,666738,666738,41198,22646
Malaysia,Negeri Sembilan,2001,10,666738,570930,543073,41198,22543
Malaysia,Negeri Sembilan,2001,15,666738,567096,538483,41198,22506
Malaysia,Negeri Sembilan,2001,20,666738,564138,534113,41198,22469
Malaysia,Negeri Sembilan,2001,25,666738,562530,530990,41198,22457
Malaysia,Negeri Sembilan,2001,30,666738,559821,527970,41198,22432
Malaysia,Negeri Sembilan,2001,50,666738,544976,505321,41198,22152
Malaysia,Negeri Sembilan,2001,75,666738,487265,440613,41198,19565
Malaysia,Pahang,2001,0,3585238,3585238,3585238,117174,48490
Malaysia,Pahang,2001,10,3585238,3327704,3244745,117174,47923
Malaysia,Pahang,2001,15,3585238,3316955,3230110,117174,47803
Malaysia,Pahang,2001,20,3585238,3308545,3218619,117174,47669
Malaysia,Pahang,2001,25,3585238,3303635,3209171,117174,47600
Malaysia,Pahang,2001,30,3585238,3295418,3199022,117174,47473
Malaysia,Pahang,2001,50,3585238,3249607,3131034,117174,46503
Malaysia,Pahang,2001,75,3585238,3063046,2947338,117174,41297
Malaysia,Perak,2001,0,2091110,2091110,2091110,67954,16679
Malaysia,Perak,2001,10,2091110,1795110,1776308,67954,16416
Malaysia,Perak,2001,15,2091110,1785066,1763207,67954,16369
Malaysia,Perak,2001,20,2091110,1778841,1758035,67954,16318
Malaysia,Perak,2001,25,2091110,1774699,1751155,67954,16290
Malaysia,Perak,2001,30,2091110,1766056,1743683,67954,16245
Malaysia,Perak,2001,50,2091110,1728918,1698520,67954,15927
Malaysia,Perak,2001,75,2091110,1603872,1580232,67954,14213
Malaysia,Perlis,2001,0,82349,82349,82349,4735,299
Malaysia,Perlis,2001,10,82349,29311,24721,4735,267
Malaysia,Perlis,2001,15,82349,28648,23978,4735,264
Malaysia,Perlis,2001,20,82349,28308,23514,4735,262
Malaysia,Perlis,2001,25,82349,28044,22859,4735,260
Malaysia,Perlis,2001,30,82349,27367,22511,4735,258
Malaysia,Perlis,2001,50,82349,25598,20250,4735,218
Malaysia,Perlis,2001,75,82349,19860,14962,4735,104
Malaysia,Pulau Pinang,2001,0,105622,105622,105622,2737,136
Malaysia,Pulau Pinang,2001,10,105622,49792,43594,2737,134
Malaysia,Pulau Pinang,2001,15,105622,48776,42218,2737,134
Malaysia,Pulau Pinang,2001,20,105622,48230,41972,2737,133
Malaysia,Pulau Pinang,2001,25,105622,47774,41502,2737,133
Malaysia,Pulau Pinang,2001,30,105622,46677,40796,2737,133
Malaysia,Pulau Pinang,2001,50,105622,43161,37158,2737,130
Malaysia,Pulau Pinang,2001,75,105622,32935,28750,2737,112
Malaysia,Putrajaya,2001,0,6173,6173,6173,890,63
Malaysia,Putrajaya,2001,10,6173,1720,1691,890,62
Malaysia,Putrajaya,2001,15,6173,1670,1598,890,61
Malaysia,Putrajaya,2001,20,6173,1644,1575,890,61
