country,subnational1,subnational2,year,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tree_cover_loss
Malaysia,Johor,Batu Pahat,2001,0,198079,198079,198079,9538,3985
Malaysia,Johor,Batu Pahat,2001,10,198079,165072,164908,9538,3970
Malaysia,Johor,Batu Pahat,2001,15,198079,163478,163208,9538,3967
Malaysia,Johor,Batu Pahat,2001,20,198079,162303,161964,9538,3961
Malaysia,Johor,Batu Pahat,2001,25,198079,161666,160772,9538,3959
Malaysia,Johor,Batu Pahat,2001,30,198079,160446,159894,9538,3954
Malaysia,Johor,Batu Pahat,2001,50,198079,153927,152517,9538,3917
Malaysia,Johor,Batu Pahat,2001,75,198079,130399,132511,9538,3664
Malaysia,Johor,Johor Baharu,2001,0,97833,97833,97833,4060,744
Malaysia,Johor,Johor Baharu,2001,10,97833,56373,48816,4060,735
Malaysia,Johor,Johor Baharu,2001,15,97833,55438,47677,4060,732
Malaysia,Johor,Johor Baharu,2001,20,97833,55011,47124,4060,731
Malaysia,Johor,Johor Baharu,2001,25,97833,54665,46431,4060,731
Malaysia,Johor,Johor Baharu,2001,30,97833,54076,45497,4060,729
Malaysia,Johor,Johor Baharu,2001,50,97833,51632,41123,4060,714
Malaysia,Johor,Johor Baharu,2001,75,97833,43363,33642,4060,611
Malaysia,Johor,Keluang,2001,0,287337,287337,287337,17954,12402
Malaysia,Johor,Keluang,2001,10,287337,242618,241892,17954,12315
Malaysia,Johor,Keluang,2001,15,287337,240879,240176,17954,12296
Malaysia,Johor,Keluang,2001,20,287337,239491,238217,17954,12280
Malaysia,Johor,Keluang,2001,25,287337,238772,236925,17954,12272
Malaysia,Johor,Keluang,2001,30,287337,237610,235609,17954,12259
Malaysia,Johor,Keluang,2001,50,287337,231234,227831,17954,12125
Malaysia,Johor,Keluang,2001,75,287337,207777,205282,17954,11502
Malaysia,Johor,Kota Tinggi,2001,0,340495,340495,340495,20695,7340
Malaysia,Johor,Kota Tinggi,2001,10,340495,291909,284000,20695,7297
Malaysia,Johor,Kota Tinggi,2001,15,340495,290110,281377,20695,7287
Malaysia,Johor,Kota Tinggi,2001,20,340495,288881,279433,20695,7276
Malaysia,Johor,Kota Tinggi,2001,25,340495,288137,277952,20695,7270
Malaysia,Johor,Kota Tinggi,2001,30,340495,286743,276055,20695,7262
Malaysia,Johor,Kota Tinggi,2001,50,340495,279681,263593,20695,7177
Malaysia,Johor,Kota Tinggi,2001,75,340495,251855,234140,20695,6820
Malaysia,Johor,Kulaijaya,2001,0,75770,75770,75770,6265,1812
Malaysia,Johor,Kulaijaya,2001,10,75770,57319,57715,6265,1774
Malaysia,Johor,Kulaijaya,2001,15,75770,56773,57184,6265,1764
Malaysia,Johor,Kulaijaya,2001,20,75770,56409,56732,6265,1760
Malaysia,Johor,Kulaijaya,2001,25,75770,56198,56371,6265,1752
Malaysia,Johor,Kulaijaya,2001,30,75770,55772,55931,6265,1749
Malaysia,Johor,Kulaijaya,2001,50,75770,54045,53525,6265,1714
Malaysia,Johor,Kulaijaya,2001,75,75770,47708,47737,6265,1581
Malaysia,Johor,Ledang,2001,0,95344,95344,95344,6654,2449
Malaysia,Johor,Ledang,2001,10,95344,78925,79694,6654,2441
Malaysia,Johor,Ledang,2001,15,95344,78249,79047,6654,2440
Malaysia,Johor,Ledang,2001,20,95344,77652,78317,6654,2437
Malaysia,Johor,Ledang,2001,25,95344,77348,77715,6654,2437
Malaysia,Johor,Ledang,2001,30,95344,76879,77399,6654,2435
Malaysia,Johor,Ledang,2001,50,95344,74063,74357,6654,2417
Malaysia,Johor,Ledang,2001,75,95344,63852,65570,6654,2257
Malaysia,Johor,Mersing,2001,0,299319,299319,299319,7963,3937
Malaysia,Johor,Mersing,2001,10,299319,278128,266063,7963,3906
Malaysia,Johor,Mersing,2001,15,299319,277300,264693,7963,3898
Malaysia,Johor,Mersing,2001,20,299319,276755,263575,7963,3893
Malaysia,Johor,Mersing,2001,25,299319,276377,262596,7963,3885
Malaysia,Johor,Mersing,2001,30,299319,275655,261553,7963,3878
Malaysia,Johor,Mersing,2001,50,299319,272162,254189,7963,3815
Malaysia,Johor,Mersing,2001,75,299319,258391,240107,7963,3612
Malaysia,Johor,Muar,2001,0,139112,139112,139112,6875,2020
Malaysia,Johor,Muar,2001,10,139112,119817,118263,6875,2015
Malaysia,Johor,Muar,2001,15,139112,118953,117260,6875,2014
Malaysia,Johor,Muar,2001,20,139112,118286,116433,6875,2011
Malaysia,Johor,Muar,2001,25,139112,117892,115602,6875,2011
Malaysia,Johor,Muar,2001,30,139112,117233,115099,6875,2010
Malaysia,Johor,Muar,2001,50,139112,113876,110900,6875,1999
Malaysia,Johor,Muar,2001,75,139112,102294,100231,6875,1920
Malaysia,Johor,Pontian,2001,0,90704,90704,90704,3108,908
Malaysia,Johor,Pontian,2001,10,90704,80078,75317,3108,900
Malaysia,Johor,Pontian,2001,15,90704,79412,74004,3108,898
Malaysia,Johor,Pontian,2001,20,90704,78879,73278,3108,896
Malaysia,Johor,Pontian,2001,25,90704,78558,72361,3108,894
Malaysia,Johor,Pontian,2001,30,90704,77928,71773,3108,892
Malaysia,Johor,Pontian,2001,50,90704,74484,66485,3108,875
Malaysia,Johor,Pontian,2001,75,90704,61598,53218,3108,810
Malaysia,Johor,Segamat,2001,0,287492,287492,287492,19161,8725
Malaysia,Johor,Segamat,2001,10,287492,255394,250215,19161,8620
Malaysia,Johor,Segamat,2001,15,287492,254079,248937,19161,8600
Malaysia,Johor,Segamat,2001,20,287492,252874,246802,19161,8570
Malaysia,Johor,Segamat,2001,25,287492,252352,245707,19161,8557
Malaysia,Johor,Segamat,2001,30,287492,251442,244792,19161,8535
Malaysia,Johor,Segamat,2001,50,287492,246279,237575,19161,8373
Malaysia,Johor,Segamat,2001,75,287492,224449,215670,19161,7458
Malaysia,Kedah,Baling,2001,0,153473,153473,153473,5391,576
Malaysia,Kedah,Baling,2001,10,153473,140497,139905,5391,566
Malaysia,Kedah,Baling,2001,15,153473,139834,139244,5391,564
Malaysia,Kedah,Baling,2001,20,153473,139337,138762,5391,562
Malaysia,Kedah,Baling,2001,25,153473,139071,138156,5391,562
Malaysia,Kedah,Baling,2001,30,153473,138537,137812,5391,561
Malaysia,Kedah,Baling,2001,50,153473,135955,135042,5391,549
Malaysia,Kedah,Baling,2001,75,153473,127344,127006,5391,454
Malaysia,Kedah,Bandar Baharu,2001,0,27058,27058,27058,1756,93
Malaysia,Kedah,Bandar Baharu,2001,10,27058,22120,22310,1756,92
Malaysia,Kedah,Bandar Baharu,2001,15,27058,21888,21999,1756,92
Malaysia,Kedah,Bandar Baharu,2001,20,27058,21724,21848,1756,92
Malaysia,Kedah,Bandar Baharu,2001,25,27058,21614,21670,1756,92
Malaysia,Kedah,Bandar Baharu,2001,30,27058,21430,21483,1756,92
Malaysia,Kedah,Bandar Baharu,2001,50,27058,20437,20329,1756,89
Malaysia,Kedah,Bandar Baharu,2001,75,27058,17246,17306,1756,82
Malaysia,Kedah,Kota Setar,2001,0,37058,37058,37058,110,23
Malaysia,Kedah,Kota Setar,2001,10,37058,6428,1105,110,23
Malaysia,Kedah,Kota Setar,2001,15,37058,6281,943,110,23
Malaysia,Kedah,Kota Setar,2001,20,37058,6220,931,110,23
Malaysia,Kedah,Kota Setar,2001,25,37058,6132,839,110,23
Malaysia,Kedah,Kota Setar,2001,30,37058,5969,760,110,23
Malaysia,Kedah,Kota Setar,2001,50,37058,5207,496,110,22
Malaysia,Kedah,Kota Setar,2001,75,37058,3697,197,110,14
Malaysia,Kedah,Kuala Muda,2001,0,92069,92069,92069,10719,670
Malaysia,Kedah,Kuala Muda,2001,10,92069,49559,54048,10719,634
Malaysia,Kedah,Kuala Muda,2001,15,92069,48512,53016,10719,629
Malaysia,Kedah,Kuala Muda,2001,20,92069,47703,52530,10719,620
Malaysia,Kedah,Kuala Muda,2001,25,92069,47290,51758,10719,617
Malaysia,Kedah,Kuala Muda,2001,30,92069,46460,51341,10719,615
Malaysia,Kedah,Kuala Muda,2001,50,92069,42889,48327,10719,568
Malaysia,Kedah,Kuala Muda,2001,75,92069,32029,40948,10719,239
Malaysia,Kedah,Kubang Pasu,2001,0,94943,94943,94943,3757,326
Malaysia,Kedah,Kubang Pasu,2001,10,94943,49743,39110,3757,313
Malaysia,Kedah,Kubang Pasu,2001,15,94943,49053,38339,3757,312
Malaysia,Kedah,Kubang Pasu,2001,20,94943,48649,37853,3757,307
Malaysia,Kedah,Kubang Pasu,2001,25,94943,48420,37117,3757,305
Malaysia,Kedah,Kubang Pasu,2001,30,94943,47663,36747,3757,303
Malaysia,Kedah,Kubang Pasu,2001,50,94943,44986,34188,3757,274
Malaysia,Kedah,Kubang Pasu,2001,75,94943,36223,27192,3757,126
Malaysia,Kedah,Kulim,2001,0,78946,78946,78946,5533,581
Malaysia,Kedah,Kulim,2001,10,78946,59984,60550,5533,579
Malaysia,Kedah,Kulim,2001,15,78946,59345,59943,5533,578
Malaysia,Kedah,Kulim,2001,20,78946,58827,59579,5533,577
Malaysia,Kedah,Kulim,2001,25,78946,58550,59194,5533,577
Malaysia,Kedah,Kulim,2001,30,78946,58045,58840,5533,576
Malaysia,Kedah,Kulim,2001,50,78946,55626,56569,5533,571
Malaysia,Kedah,Kulim,2001,75,78946,48085,50125,5533,497
Malaysia,Kedah,Langkawi,2001,0,47954,47954,47954,575,45
Malaysia,Kedah,Langkawi,2001,10,47954,37389,36436,575,44
Malaysia,Kedah,Langkawi,2001,15,47954,37134,36034,575,44
Malaysia,Kedah,Langkawi,2001,20,47954,36984,35921,575,44
Malaysia,Kedah,Langkawi,2001,25,47954,36851,35707,575,44
Malaysia,Kedah,Langkawi,2001,30,47954,36559,35546,575,44
Malaysia,Kedah,Langkawi,2001,50,47954,35731,34348,575,42
Malaysia,Kedah,Langkawi,2001,75,47954,31367,30988,575,36
Malaysia,Kedah,Padang Terap,2001,0,134965,134965,134965,11378,541
Malaysia,Kedah,Padang Terap,2001,10,134965,103964,99110,11378,473
Malaysia,Kedah,Padang Terap,2001,15,134965,103039,98061,11378,468
Malaysia,Kedah,Padang Terap,2001,20,134965,102316,97336,11378,460
Malaysia,Kedah,Padang Terap,2001,25,134965,102037,96239,11378,455
Malaysia,Kedah,Padang Terap,2001,30,134965,101242,95723,11378,451
Malaysia,Kedah,Padang Terap,2001,50,134965,98157,91874,11378,411
Malaysia,Kedah,Padang Terap,2001,75,134965,88668,81148,11378,304
Malaysia,Kedah,Pendang,2001,0,64523,64523,64523,1926,279
Malaysia,Kedah,Pendang,2001,10,64523,37987,33153,1926,275
Malaysia,Kedah,Pendang,2001,15,64523,37451,32573,1926,274
Malaysia,Kedah,Pendang,2001,20,64523,37087,32197,1926,272
Malaysia,Kedah,Pendang,2001,25,64523,36901,31569,1926,271
Malaysia,Kedah,Pendang,2001,30,64523,36403,31334,1926,271
Malaysia,Kedah,Pendang,2001,50,64523,34334,29138,1926,263
Malaysia,Kedah,Pendang,2001,75,64523,28010,22954,1926,214
Malaysia,Kedah,Pokok Sena,2001,0,28956,28956,28956,1539,85
Malaysia,Kedah,Pokok Sena,2001,10,28956,15037,13279,1539,83
Malaysia,Kedah,Pokok Sena,2001,15,28956,14695,12912,1539,82
Malaysia,Kedah,Pokok Sena,2001,20,28956,14474,12703,1539,81
Malaysia,Kedah,Pokok Sena,2001,25,28956,14371,12347,1539,81
Malaysia,Kedah,Pokok Sena,2001,30,28956,14093,12197,1539,80
Malaysia,Kedah,Pokok Sena,2001,50,28956,12941,10962,1539,75
Malaysia,Kedah,Pokok Sena,2001,75,28956,9796,7576,1539,62
Malaysia,Kedah,Sik,2001,0,167059,167059,167059,1846,584
Malaysia,Kedah,Sik,2001,10,167059,160023,154650,1846,578
Malaysia,Kedah,Sik,2001,15,167059,159589,154115,1846,576
Malaysia,Kedah,Sik,2001,20,167059,159254,153723,1846,575
Malaysia,Kedah,Sik,2001,25,167059,159086,153165,1846,574
Malaysia,Kedah,Sik,2001,30,167059,158741,152883,1846,573
Malaysia,Kedah,Sik,2001,50,167059,156953,150706,1846,565
Malaysia,Kedah,Sik,2001,75,167059,151077,144176,1846,466
Malaysia,Kedah,Yan,2001,0,24783,24783,24783,111,10
Malaysia,Kedah,Yan,2001,10,24783,11180,6314,111,10
Malaysia,Kedah,Yan,2001,15,24783,11092,6210,111,10
Malaysia,Kedah,Yan,2001,20,24783,11053,6191,111,10
Malaysia,Kedah,Yan,2001,25,24783,11008,6134,111,10
Malaysia,Kedah,Yan,2001,30,24783,10888,6087,111,10
Malaysia,Kedah,Yan,2001,50,24783,10522,5867,111,9
Malaysia,Kedah,Yan,2001,75,24783,8124,5371,111,7
Malaysia,Kelantan,Bachok,2001,0,28035,28035,28035,567,25
Malaysia,Kelantan,Bachok,2001,10,28035,9894,8033,567,24
Malaysia,Kelantan,Bachok,2001,15,28035,9374,7393,567,23
Malaysia,Kelantan,Bachok,2001,20,28035,9027,7249,567,23
Malaysia,Kelantan,Bachok,2001,25,28035,8733,6989,567,23
