country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Malaysia,Johor,0,1911485,161690598,85,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,10,1625635,161322141,99,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,15,1614670,160842410,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,20,1606540,160463313,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,25,1601965,160254374,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,30,1593783,159877994,100,13427527,7299827,6127700,13932000,13415820,4966802,15405572,18173591,15098715,16805802,8217932,21209437,13507486,24260308,15744499,8599785,19403457,11848674,17843911,16764215,11756567,11383557,7824222,7771995,5947830,8950948
Malaysia,Johor,50,1551382,157627402,102,13287539,7015158,6272382,13851659,13353049,4936464,15322044,18069999,15042644,16748397,8190972,21153933,13485873,24214574,15688180,8513612,19135441,11675414,17484226,16465778,11525333,11113011,7629223,7583189,5784317,8646075
Malaysia,Johor,75,1391685,147208845,106,12458477,5984949,6473527,13241387,12785228,4641150,14429271,17123101,14496021,16187142,7936761,20570772,13231846,23771886,15280991,8020765,17687810,10800504,15707216,15002452,10399944,9836864,6674461,6514183,4984812,7220395
Malaysia,Kedah,0,951787,79675819,84,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,10,693911,79000112,114,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,15,687911,78642913,114,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,20,683626,78375777,115,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,25,681331,78241635,115,,,,,,,,,,,,,,,,,,,,,,,,,,
