country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Malaysia,Johor,Batu Pahat,0,198079,12559041,63,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,10,165072,12513804,76,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,15,163478,12445657,76,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,20,162303,12392369,76,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,25,161666,12363710,76,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Batu Pahat,30,160446,12308338,77,1387148,1294216,92932,1524990,1057654,635321,1526926,1619985,1096142,2599014,613585,1769347,784209,2249934,1239854,564931,1516698,1083950,2243284,2065030,1493600,1640047,1173736,1299837,923996,1182336
Malaysia,Johor,Batu Pahat,50,153927,11978043,78,1371113,1237023,134090,1517675,1051868,631351,1517553,1611548,1091712,2587490,610560,1763116,783243,2243768,1233765,559047,1496810,1069577,2197529,2032870,1466533,1603204,1149998,1272999,901121,1142252
Malaysia,Johor,Batu Pahat,75,130399,10572028,81,1276314,1031171,245143,1445861,993481,594005,1427733,1524220,1046697,2489823,580890,1699398,766009,2187596,1194705,524258,1386984,987199,1971188,1857631,1327220,1430954,1023563,1134219,792798,968793
Malaysia,Johor,Johor Baharu,0,97833,4624225,47,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,10,56373,4578697,81,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,15,55438,4542650,82,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,20,55011,4525071,82,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,25,54665,4511364,83,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Johor Baharu,30,54076,4486954,83,430587,349333,81254,237804,237169,60195,449194,501190,692852,261973,210862,722123,420885,228418,430883,136528,539164,419608,585237,637649,771674,728674,698065,265997,185008,482352
Malaysia,Johor,Johor Baharu,50,51632,4364581,85,422311,334560,87750,234802,232605,58727,439726,494195,684835,259913,209697,717908,418792,227187,426899,134266,525824,406765,566740,622360,759479,707054,686383,254480,178903,465604
Malaysia,Johor,Johor Baharu,75,43363,3849346,89,376604,286121,90483,209416,194615,47808,373344,433394,620288,236298,198351,679361,396155,218239,402985,119345,453660,336589,479498,545304,704952,646929,622737,205108,150721,386799
Malaysia,Johor,Keluang,0,287337,24585006,86,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,10,242618,24518278,101,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,15,240879,24438381,101,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,20,239491,24371980,102,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,25,238772,24337380,102,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Keluang,30,237610,24281383,102,1557555,575293,982261,3112230,2304470,1523883,2729823,2073498,1799818,2147757,1212697,2870239,2024242,2282970,1697278,769456,1493585,1226935,1354950,894692,594584,823891,625494,965902,461650,833721
Malaysia,Johor,Keluang,50,231234,23927826,103,1534643,544193,990449,3094729,2294567,1515080,2719936,2063806,1792006,2136458,1207536,2859212,2020809,2275501,1688248,748929,1419792,1177643,1290923,847169,570475,797157,601164,935818,443082,796740
